word,freq,doc_freq,tfidf_top_k_mean,token_count,expected_cost,positive_residual,RIF
rtl,25,8,0.08408266718067961,3,2.179826162221954,0.8201738377780461,0.06896240383219215
yi,75,40,0.08348437973414305,2,1.9778425887769184,0.02215741122308157,0.0018497977324733047
dvd,476,243,0.08311757834916045,3,1.926734235283229,1.073265764716771,0.08920725128831782
ltd,501,275,0.0821881598490279,3,1.9210130005392332,1.0789869994607668,0.08867995598670449
crtc,28,14,0.08132074020196782,4,2.265655231380431,1.734344768619569,0.14103820034955397
mk,215,46,0.07986651345791532,2,1.9167846828672852,0.0832153171327148,0.0066461172456846575
cbd,30,17,0.07948340968175152,3,2.150464163346488,0.8495358366535122,0.06752400494406065
nr,53,26,0.07889304083389548,2,2.0074713620153735,0.0,0.0
bcd,118,7,0.07862792282057957,3,2.090694941836291,0.9093050581637092,0.07149676793365874
wb,41,21,0.0783835608261149,2,2.0269760453013226,0.0,0.0
sg,74,25,0.0773672917128614,2,1.9897544842174497,0.010245515782550285,0.0007926678082972934
si,226,85,0.07722038330589867,2,1.899844513662043,0.10015548633795701,0.007734045045205738
mtv,219,73,0.07710684593865272,3,1.9988095707727223,1.0011904292272777,0.0771986361816813
mx,24,17,0.07707363217823886,2,2.0621742137308328,0.0,0.0
havlíčkův,3,3,0.07692107019926248,9,3.8602296223380916,5.139770377661908,0.39535663802822146
pw,25,3,0.07690722544893712,2,2.0985212796652974,0.0,0.0
td,48,29,0.07648824005815882,2,2.010400260253366,0.0,0.0
lp,239,119,0.0750439358929216,2,1.889048969457626,0.11095103054237399,0.008326202023275501
hc,38,21,0.07451980081584468,2,2.0312473301485894,0.0,0.0
gp,43,30,0.07446254064557449,2,2.0157389396117917,0.0,0.0
dj,272,118,0.07413776598840778,2,1.8823433822203512,0.11765661777964875,0.008722798795935138
tk,15,7,0.07328208626105184,2,2.1095153798976694,0.0,0.0
lt,241,87,0.07316257068172577,2,1.8958559423376962,0.10414405766230383,0.007619446979800029
mlb,319,71,0.07311946312564332,3,1.9783187459599105,1.0216812540400895,0.07470478478094535
db,121,35,0.07296814550840286,2,1.9545699890879717,0.04543001091202825,0.0033149436466772073
aşağı,5,5,0.07267498814999332,5,3.1332390317001484,1.8667609682998516,0.13566683125006176
cw,63,35,0.07244517768986418,2,1.990717375691571,0.009282624308428966,0.000672481367452389
cbc,87,42,0.07212168141597482,3,2.0653235077997394,0.9346764922002606,0.06741044019746807
nbc,570,155,0.07148564082706174,3,1.9275403663247617,1.0724596336752383,0.07666546417443029
rr,20,16,0.07129184399078362,2,2.0738766086165166,0.0,0.0
hsfp,12,7,0.07043415823151253,4,2.3359580429707125,1.6640419570292875,0.1172053945052766
brp,18,3,0.07040342047838692,3,2.2214835166444127,0.7785164833555873,0.054810223327038526
pu,24,12,0.07006650829715702,2,2.0704835220476348,0.0,0.0
bcb,10,7,0.0699761016355123,3,2.2369967266463524,0.7630032733536476,0.05339199460442341
jk,7,4,0.0697952061897418,2,2.16399203713282,0.0,0.0
pc,364,132,0.06904001133292577,2,1.8643149050697552,0.13568509493024483,0.009367700491693212
cjpg,3,3,0.06882500739203111,4,2.4362661222963053,1.5637338777036947,0.10762399569212626
rbd,6,3,0.0672598678468928,3,2.285392950151175,0.7146070498488251,0.04806437573528991
nwr,6,5,0.06717545006603512,3,2.2739708647508627,0.7260291352491373,0.048771333921415076
md,106,49,0.06696207308469018,2,1.9539193789061846,0.04608062109381539,0.003085653917471982
fb,40,12,0.06579223904530804,2,2.041593324924443,0.0,0.0
kg,279,135,0.06550295867337058,2,1.8778889957558087,0.1221110042441913,0.007998632064571043
tnt,81,27,0.06537097856663734,3,2.08047015121423,0.9195298487857699,0.060110566036357845
bn,162,20,0.0653093121960607,2,1.951505361288111,0.04849463871188897,0.003167151499469928
gümüşlü,4,3,0.06418443734529464,7,3.4844925351980436,3.5155074648019564,0.22564086861149676
npb,9,6,0.06410538391735038,3,2.24676528295448,0.7532347170455198,0.04828640071607983
jpg,9,7,0.06405464752990231,3,2.2430610235172157,0.7569389764827843,0.04848545934024976
gb,75,46,0.06389823247579156,2,1.9745074279457873,0.025492572054212737,0.0016289302955259527
nm,176,55,0.06380633906863661,2,1.923488130772643,0.07651186922735698,0.004881942270695923
np,114,28,0.0625726373417665,2,1.9630914703811242,0.03690852961887581,0.0023094640386597635
vs,516,254,0.062132352793413614,2,1.8311812970835066,0.16881870291649337,0.01048910320773405
pi,121,57,0.06133943752431255,2,1.9430847529536681,0.056915247046331885,0.0034911492403792888
aaa,57,32,0.06117123065572701,3,2.096772802923548,0.9032271970764518,0.05525151920688943
hd,188,72,0.06095367818113381,2,1.9136282234500854,0.08637177654991457,0.005264677471756293
lc,36,19,0.060563726568555666,2,2.036684288556548,0.0,0.0
ku,85,43,0.05948622748419337,2,1.969191039699217,0.03080896030078306,0.0018327088210038638
cpc,141,9,0.059318422460793795,3,2.074499489577826,0.9255005104221738,0.0548992302649028
mg,177,70,0.05837233559556626,2,1.9175484952700133,0.08245150472998675,0.004812886904458205
snk,136,24,0.05804850258390568,3,2.053232456074502,0.9467675439254979,0.0549584382199173
lvr,3,3,0.057692161087269093,3,2.322010975387597,0.677989024612403,0.0391146520233392
dk,25,12,0.057609468962933494,2,2.068178191588719,0.0,0.0
mw,123,40,0.057602918912746714,2,1.9505302431783786,0.04946975682162136,0.002849602390829154
hp,182,57,0.05751049861478251,2,1.9208345206819968,0.07916547931800322,0.004552846188656617
bmd,14,7,0.05728537760266681,3,2.217375767793334,0.7826242322066661,0.04483292466295606
sdk,11,4,0.05717559992363169,3,2.2444726852347636,0.7555273147652364,0.043197727480392904
gdp,825,158,0.05692883753974659,3,1.9069827320335386,1.0930172679664614,0.06222420247620034
lm,459,26,0.056627150146460956,2,1.8889601314809745,0.11103986851902548,0.006287871306870139
svg,8,7,0.05657220782803768,3,2.249783926005362,0.750216073994638,0.04244137965395915
hz,94,37,0.056236038416803115,2,1.967192359820503,0.032807640179497,0.0018449717134988467
tlc,39,6,0.055778814114047816,3,2.160013499312716,0.8399865006872842,0.046853450880145524
jw,9,8,0.05562788443449822,2,2.1347574173153254,0.0,0.0
yu,111,65,0.055420144133423166,2,1.944703100175879,0.055296899824121004,0.0030645621583842483
mt,130,69,0.05487030146414349,2,1.9346593575964168,0.06534064240358317,0.003585260746545406
nt,57,25,0.05459590953937197,2,2.004335341213249,0.0,0.0
mv,41,25,0.0543134607351789,2,2.0227960470114206,0.0,0.0
tàu,4,3,0.05403461622224054,3,2.875396280654965,0.12460371934503511,0.006732914154672741
sv,65,36,0.053635863428839435,2,1.988304838421952,0.011695161578048063,0.0006272800891783962
br,144,45,0.05336961570286828,2,1.9391221540178647,0.060877845982135304,0.003249027244884965
pgc,4,3,0.0531842815604564,3,2.307339938580126,0.6926600614198741,0.03683862773223761
su,121,64,0.05294801122831868,2,1.940350762133372,0.05964923786662801,0.003158308516322872
jō,3,3,0.05198257669468163,2,2.7579725119868534,0.0,0.0
