word,freq,doc_freq,tfidf_top_k_mean,token_count,IWF
arbuthnott,8,3,0.09537619535955671,5,0.38150478143822686
yılmaz,6,5,0.09517524998433209,5,0.38070099993732837
philippines,534,221,0.1268503578093989,4,0.3805510734281967
hawaii,188,112,0.12642126607141255,4,0.3792637982142376
londonderry,41,17,0.1262593649594835,4,0.3787780948784505
pontefract,7,3,0.1259890202215403,4,0.3779670606646209
poindexter,30,3,0.09444038875391982,5,0.37776155501567926
heathcote,10,4,0.1253066831385869,4,0.3759200494157607
toxicodendron,6,3,0.0751612712927923,6,0.37580635646396154
paratyphoid,27,3,0.09349623348284326,5,0.37398493393137305
nideggen,8,3,0.12463162826039591,4,0.3738948847811877
sapporo,26,16,0.12456257459147893,4,0.3736877237744368
ljubljana,48,21,0.0931490231216679,5,0.3725960924866716
lgbt,369,113,0.12406504266427136,4,0.37219512799281407
baháʼí,317,39,0.12341074753311423,4,0.37023224259934273
votolato,6,3,0.12301789343323632,4,0.369053680299709
mashonaland,8,3,0.12204992201539332,4,0.36614976604617994
innsbruck,30,22,0.12127779429955927,4,0.36383338289867784
thiruvananthapuram,12,7,0.07267280895108043,6,0.3633640447554021
motorpsycho,14,8,0.09050743004529424,5,0.36202972018117696
hüseyin,14,8,0.12063565948352575,4,0.3619069784505773
candidate,830,403,0.12060349300483333,4,0.36181047901450003
nayarit,3,3,0.12059183557581488,4,0.36177550672744463
totagatic,8,3,0.11984985647624541,4,0.3595495694287362
proprietary,122,89,0.11967470885617108,4,0.35902412656851324
climatologist,5,3,0.11965340677559379,4,0.3589602203267814
chivasso,3,3,0.11907591105486319,4,0.35722773316458956
kulmbach,18,11,0.11869213945569615,4,0.3560764183670885
voivodeship,25,14,0.11863844084002743,4,0.3559153225200823
dipyramidal,3,3,0.11806530722624531,4,0.3541959216787359
sarnıçköy,4,4,0.0883175273781594,5,0.3532701095126376
alexandria,663,123,0.11741738309586514,4,0.3522521492875954
mathematician,525,227,0.11729068761907564,4,0.35187206285722694
snowboarding,35,17,0.11715159280263658,4,0.35145477840790973
çamlıdere,8,3,0.08778977348182265,5,0.3511590939272906
capuchin,38,9,0.11661468256930496,4,0.3498440477079149
controversy,637,433,0.11635686511241013,4,0.3490705953372304
burdekin,37,5,0.1163390830873042,4,0.3490172492619126
neighborhoods,184,74,0.08705509779294561,5,0.34822039117178244
yenimahalle,13,10,0.08700867724425557,5,0.34803470897702227
constellation,283,68,0.11596067715191838,4,0.34788203145575514
maccasler,3,3,0.11592264915887178,4,0.3477679474766153
orthorhombic,21,14,0.08692853829397015,5,0.3477141531758806
mcgee,35,15,0.11558331713396461,4,0.3467499514018938
neighbourhoods,126,100,0.08664571250697237,5,0.34658285002788947
bjerka,3,3,0.11541252390344614,4,0.3462375717103384
refractometers,41,5,0.1150292664588296,4,0.3450877993764888
echinodorus,10,4,0.11494226851051986,4,0.3448268055315596
criollos,12,5,0.11410558943027424,4,0.3423167682908227
hematopoiesis,5,3,0.06836710500018499,6,0.34183552500092496
